,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
ontology#hasLocationContainerMember,1.9566301,1.7211026,1.6757158,-0.9989131,-1.1962451,0.5687273,2.6413584,-0.15552908,1.5397551,1.5765767,-1.720169,0.33978757,-0.1888219,-0.9932139,-0.50827533,0.4854998,2.5020564,0.9073218,-0.6075364,1.9493763,0.39135224,-1.3694224,0.63920707,1.2365586,-0.0020090735,2.5998232,1.1177068,-0.16048028,1.6192361,1.5829743,-0.46484956,-2.6133025,0.46843693,-1.2473435,2.7994018,-1.6466297,-0.9173994,2.157366,1.5434594,0.5817502
ontology#hasLocationContainerMember_reverse,0.02252541,-0.7256912,3.2630575,-1.3693607,-1.7732518,1.4629637,-3.9623923,-5.1138053,2.827961,1.5653021,-2.0303211,1.0388615,0.89519715,0.4323164,-0.1711562,-0.03107722,0.37346756,3.133955,2.3694243,3.1538777,-1.1594328,-2.3565555,-0.51056415,0.42522916,1.1615723,2.5474806,-2.5535038,0.42052457,0.1695636,1.7110533,0.1508155,-1.6248503,0.0664596,-1.4019523,0.81659526,-0.752364,-0.152949,1.3300561,0.39405045,-2.562214
ontology#hasLocationPartMember,1.2412893,1.6228881,-1.2467018,-0.5513915,-2.0150082,1.5708158,2.3972015,-3.3886647,1.0524256,-0.41249427,-0.9655684,2.0795121,1.389362,-0.9932326,0.7461761,0.72883034,1.7177145,2.3253818,0.21802585,-1.2904458,0.89436483,-1.4817399,0.57919985,1.0717866,-0.20405145,3.1721156,0.96003956,-0.50627315,1.1714718,0.42448607,-1.374577,-2.1776147,-0.0064728283,-1.5341363,-0.9446408,-1.8858529,-0.4187252,4.0900054,4.559165,-0.6348971
ontology#hasLocationPartMember_reverse,0.79156786,-1.0592705,1.7256286,-0.5283591,-4.8900685,1.2210345,-3.8813558,-4.464366,1.9628211,0.17422558,1.7140731,0.23905443,2.2394323,0.31207207,1.8289409,-1.3722968,0.602752,1.5430766,1.9556812,0.33689886,-2.107368,-2.0371203,0.8153425,0.22769023,1.0805213,2.576684,-1.8522053,-0.2126723,-2.1973326,1.1481836,0.84431463,-0.62463266,0.104907125,-1.9391906,0.36133832,-0.4614749,0.094006956,1.431136,1.3872663,-1.743744
ontology#hasRole,1.551949,1.9135159,3.5534794,2.0666804,-3.4931266,-0.9748038,-2.2508461,-0.47905037,-1.609581,0.6395341,2.508512,-0.31737232,0.8653001,-0.9023613,0.81918293,-0.8234478,1.4374906,3.9191465,-1.4581013,-3.4833567,0.7477849,0.19552563,1.3242754,-0.33837074,3.106159,-0.84803045,-0.8432457,-0.38459995,-1.8744539,0.45584232,0.80632484,0.06376012,-0.7358891,-1.9604756,-0.07005824,-1.2035184,-0.4797744,1.2073824,2.1397452,3.91178
ontology#hasRole_reverse,1.8595743,1.8749985,4.1063833,1.9532162,-1.9772147,-1.6766348,2.5034106,-1.2134112,-0.6973927,1.1358403,1.1788957,-0.97215873,0.92319137,-1.2814493,-0.11683493,-1.055354,1.1005523,0.05611207,-0.3326275,1.129562,0.55763906,0.63794273,1.7949399,-0.16767526,-0.5120875,-0.23713297,0.24861129,-0.5386143,-1.6017349,0.7395098,-3.8865237,-0.07281046,0.16162302,-1.1087645,-0.12015334,-1.3438426,0.22786836,-0.49426532,-0.58657956,-1.8803225
ontology#intervalEnd,1.4996257,1.0234305,-2.0335126,2.704068,1.918828,2.3661644,-0.4146607,-1.9025325,2.2454443,0.30130866,0.06822853,0.50000817,0.57637334,-1.8083233,0.232054,0.29323152,1.7913556,0.07490988,-1.6194806,1.3050447,1.0254191,-2.388821,-0.80125767,-0.6955712,-0.42407575,1.8661766,0.19317706,-0.42872488,0.24062988,0.11986702,-1.9766634,-1.3208472,0.001323607,-1.0549139,0.16641515,-1.7354367,1.1525797,-1.4042237,0.6038766,-0.3363881
ontology#intervalEnd_reverse,1.0861233,-1.3523026,-2.2119472,0.020809408,1.9831706,-0.928443,-0.74486643,-0.21492535,2.351059,1.1081092,-1.2156386,0.43051845,0.7411981,-2.1139326,0.7186422,-0.5578511,1.0791724,-0.9978817,0.042759284,2.915103,-0.1069629,1.5981075,0.6230831,1.0062828,0.5432531,-0.22623068,-0.52194965,-0.55413383,-0.24005005,1.2317082,-0.7617988,-1.411217,-1.960583,-1.3886567,0.6828251,-0.3991123,-0.0908818,-0.072788045,-1.7747356,0.95764935
ontology#intervalStart,1.5337144,0.9241311,-1.8059148,2.3120081,0.88516694,2.3500407,0.4250928,-1.8746251,2.082288,-2.4026775,-0.16847952,0.78350157,0.61308795,-2.0498319,-0.08347389,1.0842106,2.2091663,0.7409127,-2.1447337,-0.25374448,0.17085315,-3.5583599,-0.1853468,-0.70438933,-0.30487683,0.8349459,0.44443858,-0.6053266,0.28392106,-0.49934888,-0.14560963,-1.2673855,-0.23688988,-1.3092779,0.16716325,-2.338484,-0.0060600555,-1.5307156,-0.36213735,0.5410829
ontology#intervalStart_reverse,1.2461557,-1.3784168,-2.0786839,-0.13069876,0.7752566,-1.3331766,0.036934715,-0.7875989,2.1171749,-2.47474,-0.53021204,0.21007337,0.68450636,-2.5929744,0.050164,-0.8495658,1.615041,0.08556377,-1.0153849,-0.9257261,0.73305553,1.4519567,-0.20421511,0.9194385,0.1260672,-0.54382354,-1.0463272,-0.3099099,-0.08637289,1.7451292,-0.40446633,-1.052579,-1.5552082,-1.0378597,0.56820154,-0.24941657,-0.43435046,-0.8309997,-1.8084477,1.9528389
ontology#related,1.5055715,1.9206525,0.5831501,-1.1012375,0.2167556,-0.24141318,-0.83888423,-0.53141266,-0.41871044,0.5538949,-0.0991624,-0.49465555,-0.1633687,-1.5229516,-0.4709908,-0.8974256,2.3506103,2.5213726,-0.9864522,2.2917168,0.23056756,0.5138419,-0.026368862,1.5711349,-0.40987548,1.4053526,0.9580468,-0.45160946,1.4076823,1.5747893,-3.0911782,-0.86067885,1.4345965,-1.2096477,0.8877606,-1.3779104,0.4009709,2.4770396,2.8384027,1.5181496
ontology#related_reverse,2.1361685,1.5089896,-1.2791806,-0.26899529,2.2258723,-3.7608175,-1.1188732,3.7993977,-2.595661,2.8085444,-2.2783175,-1.2406011,0.6150287,-0.8724792,-0.76413316,0.45314267,0.5173787,0.84298885,0.43098575,5.142235,0.01848924,-0.47362486,1.2449499,-0.40454412,0.3637035,-0.8581306,1.3314952,-0.20404343,0.2824417,0.3140237,-0.12831053,-2.0965447,-1.9907523,-1.8864231,-0.5974219,-0.691183,-1.0250047,1.1651495,-1.8104078,0.7150085
owl#disjointWith,1.665546,0.2695846,-0.9686493,1.2958237,0.08281315,1.1400212,0.3766388,1.0379757,2.006247,0.81248707,0.74401265,0.7868664,0.96762174,0.11129043,-0.6142986,-0.75194514,0.86586916,1.0637631,1.3942635,-0.2059348,1.3570125,-1.2465519,-1.5833366,-1.2506241,-0.7101093,1.1417526,-0.6678402,-0.17946173,-0.28731087,-0.73762774,0.14644593,0.16071543,-2.246538,-0.09869957,0.5816202,0.60629904,-0.73601484,0.9789265,1.5075326,-0.18060149
owl#disjointWith_reverse,0.9758443,1.0538479,1.1197492,2.1101725,1.0942576,-0.10265178,0.7404602,1.1023091,2.4835994,-0.3380607,0.3080613,-1.499378,0.54683363,-2.1004753,-1.0596033,-0.27182752,1.786223,1.2053503,-0.19685262,-0.5720029,-0.39525476,-0.56231695,1.6038339,0.5918408,-0.09022099,0.40241504,-1.7091194,-1.9709971,0.6781334,0.9841299,-0.2882163,0.47866642,-1.7730116,-0.24563481,1.791514,-3.356466,0.8149287,2.1518092,1.6940128,-2.1538796
owl#members,-0.40068817,-0.41935945,-0.63230354,0.7820119,0.24364506,0.4555426,-4.035256,-0.07503004,2.142649,0.41894293,0.17493638,0.28064218,1.5988034,-0.3416698,-0.47401267,0.46645775,0.35978106,1.0626966,-2.0040824,0.7712527,-0.92693186,-1.4520302,0.03863336,0.251742,-0.58166534,0.26735526,-2.015151,-0.19651052,-0.42235273,-0.009930009,-0.23719083,0.26270226,-2.797192,-1.0485094,0.8880345,-1.2297758,-0.55744976,-0.62749,-0.58168566,-0.50236773
owl#members_reverse,0.5685683,0.1759821,-0.34125125,-0.36305448,-0.24861664,1.6934083,-1.1561595,-0.07580226,0.4528998,0.2424648,0.75717026,0.6475417,0.7871638,-0.05464823,-0.5175737,1.9944737,-0.6484389,-0.06963196,-0.82220924,-0.13001126,0.38444728,-0.6500105,-0.1398018,-0.24700125,-1.490175,-0.068449736,0.39667192,0.14104131,0.9026441,0.38884467,-0.22705443,-1.8542756,0.0028048067,-0.56333935,0.8514011,0.89684856,-0.26595983,-0.41695115,-0.8391678,0.8998749
rdf-schema#domain,0.2991273,0.8211853,-1.254543,1.5495262,0.9363607,-0.13913883,1.8692404,0.12735462,2.4598758,-0.015964191,0.70576996,0.8534215,0.06893415,-0.50526214,-0.07061387,-0.8741595,2.8083854,-0.024052095,1.7205472,-0.21379134,0.4261577,-1.4244341,0.44233313,-1.0179585,-0.6753624,-0.36981836,0.56968105,-0.6393522,-0.98954004,0.095924154,0.6457481,1.1564468,-2.0809717,-0.21871334,1.5527979,0.81740683,0.24830152,1.0070275,0.606137,-1.118577
rdf-schema#domain_reverse,0.08278498,-1.211526,0.48463196,0.642682,-1.4447595,1.0999352,2.5960834,-0.40281928,2.5999982,0.87255216,-0.4993629,1.3897965,0.40245387,0.03278965,-0.31262416,1.6538668,-0.47551247,-1.3257906,1.04115,-0.43672836,-0.48103517,-1.0019648,0.05740908,1.8507158,-0.41227403,0.3515116,1.1796993,1.4532279,0.8441737,-0.97753626,-1.0945647,0.62962234,0.83723646,-1.561457,1.4657875,-2.4864702,0.6652846,-0.48146412,0.14629841,0.8262155
rdf-schema#range,1.6716411,0.50611234,-1.3792659,1.3904986,0.90723324,-0.21936531,1.0922166,0.41084132,1.9724606,0.48227912,0.40068495,0.19268747,-0.016149964,0.017768951,0.15741391,-0.8944528,2.6654968,0.17904882,1.2779317,-0.44279018,0.8018688,-1.4444319,-0.109237306,-1.241237,-0.5754785,-0.57380116,0.9374802,-0.10569616,-0.49710938,0.6831365,0.05501323,1.0590613,-1.8110263,0.46709675,1.0268323,0.8571327,0.19646256,1.2933,0.22576585,-0.46706644
rdf-schema#range_reverse,0.053689703,-1.3899678,1.0200276,1.081506,-1.6990921,0.44623196,2.1032228,-0.20587747,2.2961724,0.8326602,0.10564023,1.1667811,0.078871116,0.42980158,-0.9939651,1.1936915,-0.5513836,-1.6527982,0.31584063,0.15637454,-0.49500188,-0.99177575,-0.60936993,1.5707154,-0.80868906,0.20671235,1.0838526,1.1929911,0.79867315,-0.9047245,-1.1932932,0.46753472,0.5254007,-1.085706,1.6328843,-2.0559075,0.2728845,-0.92521226,0.43041554,0.30749807
rdf-schema#subClassOf,1.0998124,1.010271,3.682131,4.0693755,0.98839664,-4.091827,3.8795671,-2.7596579,2.4682994,-0.35024902,0.92104083,-0.2013855,-0.3562963,-1.6150043,-0.3589722,0.17821021,2.149538,-0.2954163,1.928056,-0.54237276,0.6693464,-0.69170517,0.091096945,-0.27559844,-0.51552105,0.8318822,-0.20691195,-0.07065233,0.21333674,0.5137662,-1.140442,1.2010508,-2.6839387,-0.52567977,1.9131186,-0.45001507,-1.154998,4.7487116,3.0097446,-3.1409197
rdf-schema#subClassOf_reverse,2.2598403,0.9796654,3.3551598,3.1291842,1.5536721,-2.1011999,2.5675707,-0.31499144,2.4177074,0.55340254,1.1184899,-1.2179505,-0.3885785,-0.24802236,0.3759346,2.3060505,0.96498466,0.42691144,2.8068287,-0.91306543,1.1829634,-1.8709545,-1.9456974,-0.9703194,-1.3235571,0.06444093,-2.294587,-1.4226991,1.3009044,1.122872,-1.0351856,1.0725353,-2.0281677,-0.2816848,1.931826,-0.667344,-1.93752,4.9945393,6.113527,-3.2595744
rdf-schema#subPropertyOf,-0.82130975,-2.4035597,0.19191495,-0.021473978,0.08856473,1.5799081,0.3239258,0.5834727,2.493586,1.1637403,0.1890503,0.08406109,-1.0939509,-0.54600996,-0.26361892,1.803484,-0.90157497,0.93787223,-0.6515233,0.35026738,-0.7668592,-1.1473266,0.6808182,0.2904958,-0.5819853,0.68824935,-0.23727092,1.001205,0.44936818,0.15112396,0.58948755,-0.78433466,1.5077491,-1.0145036,0.6028085,-0.08924601,1.4667405,-1.464997,1.4065984,2.014208
rdf-schema#subPropertyOf_reverse,0.10343363,-1.8605385,0.050019793,0.55783844,-1.2397994,1.6814593,1.6214768,-0.9926726,2.810023,0.8443471,0.22325663,0.3467132,-0.22478968,0.43805352,0.16854534,1.5872265,-0.9052566,1.1410136,0.9689786,0.5660867,-0.57516813,-2.0421124,1.2767593,1.9952468,-0.6460037,-0.47537398,1.6284112,1.0326732,1.0716958,-0.3658712,-0.3987455,-1.3254457,0.16910152,-1.68741,1.2880511,-0.22813912,1.1342418,-0.8131269,-0.652776,0.3026025
