,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
mutagenesis#hasFifeExamplesOfAcenthrylenes,0.20215021,-0.5620604,-0.72681457,0.5642822,2.442122,-1.4359578,1.9838898,-0.5155103,0.03868432,-1.1416671,-0.5655217,-0.107619025,1.0534478,0.13235289,0.2199268,-3.000197,0.10188697,0.02921238,-2.6874952,-0.79345673,0.32298958,0.122205056,-0.040225074,0.048192024,-0.048874065,0.39219162,-2.2493072,-0.005396517,0.13177079,-1.7041975,-0.15029739,-0.9104097,0.008274116,1.6184561,-0.035456855,0.096863545,1.2509638,0.26028922,-1.6866595,-1.0994995
mutagenesis#hasFifeExamplesOfAcenthrylenes_reverse,1.4862515,-0.54260945,-0.58699673,0.4156539,-0.4144341,0.28007716,-0.41899645,-0.1121387,1.9872016,0.8135818,-0.22293484,0.10505896,-1.3764457,-0.2511986,0.6003386,-1.9417726,1.4714578,-0.77215147,-1.2893989,2.005604,1.5964135,0.6285638,-0.11133722,-1.8520672,0.01270349,0.13731119,-0.55562836,0.79635805,-0.20882805,-1.302603,0.459828,-0.73793167,-2.1479597,-0.80246156,2.4594743,1.7728763,0.7212496,-0.7901676,-1.6364522,1.904409
mutagenesis#hasStructure,0.7835362,-1.9256217,2.1227322,0.50501764,-0.63006437,-0.19710043,1.7127814,-0.52068555,-0.2030888,-0.9913752,-0.13885915,0.6922665,-1.6985251,-1.871382,0.8142146,-1.3741676,1.2716757,-0.6813247,0.21772653,-1.3759931,-0.3456856,0.68114585,-0.9577422,0.06469467,-1.4591211,0.25156826,-1.4602219,0.117875345,1.1949692,-2.3459535,-1.483051,0.5387189,-1.5567366,3.6183753,-1.6141522,-0.3176707,2.2696142,-2.0383077,0.85135955,-1.3941776
mutagenesis#hasStructure_reverse,0.85723555,-1.0698807,0.20213719,0.38032585,-0.4010384,0.64429027,-0.69770104,-0.7353815,-0.045643676,-2.2521486,0.26702502,0.7745976,-1.4122503,-1.317276,1.2586155,1.0191175,1.5103016,-2.6624355,-1.399944,0.77531606,-1.4921372,0.16222951,0.38631693,-0.75689745,-0.39326507,1.7120289,0.9397789,0.056984454,-0.9181159,-0.9087931,1.4303569,0.16252702,-0.79200816,-0.2127653,2.3545575,1.0802399,-0.17900932,1.2699744,-1.2043067,0.67745435
mutagenesis#hasThreeOrMoreFusedRings,-0.0109024765,-1.8177754,-0.9216987,0.4808979,2.2149906,-1.1857988,-0.32351714,-0.5433503,-0.615985,-2.3352988,-0.52777785,-0.4876509,0.07858001,0.49507293,0.19587488,-3.1359065,-0.8502383,-2.3541706,-2.4224954,-0.104933925,0.12115532,-0.0016302468,-0.40203947,-0.6344732,0.2584768,0.4739413,-1.0745574,0.5136589,0.39886156,-2.519062,-0.13263945,-0.7610335,-1.2310176,1.8187648,-0.03301256,-0.7464467,-0.6892654,-0.97392297,-1.7524576,-1.2346817
mutagenesis#hasThreeOrMoreFusedRings_reverse,0.1141538,-0.9790023,-0.49895447,0.17692186,-0.57767,-1.1289606,-0.030330202,0.11117703,-1.6372409,-2.4086626,0.39919987,-0.43611795,-1.939943,-1.6974326,0.7031717,0.8172239,0.35212097,-1.3184825,-1.5392855,3.2021725,0.21154164,0.39454597,-1.4459032,-1.0143806,0.8279281,0.7984615,-0.8229596,0.9695878,1.5614691,-2.0579293,-0.27128696,-0.92902493,-1.2775942,-0.4282269,-0.4388652,0.55047107,0.6382961,0.4647563,-3.276577,1.5271016
mutagenesis#inBond,-1.4079317,-1.9409682,0.1717322,-0.14905939,0.67548794,0.21709484,-0.75667393,-0.90371835,0.07488021,0.32882908,0.7108526,0.96051687,0.41606182,-0.041876648,-1.2670887,0.3553849,0.7859648,-0.45442197,0.69324535,-0.047191996,-0.55275214,0.60227066,-0.011032849,1.5349724,0.42773697,0.97305524,-3.1606402,0.5179926,0.7621062,-0.057634313,1.4480484,-1.1111562,0.4171152,1.5859451,1.1326915,0.5593852,0.038092498,-0.5774629,0.049564686,0.27807218
mutagenesis#inBond_reverse,-1.2633398,-0.46719334,0.35331511,-0.47951338,1.1896752,0.8495742,-0.3451441,-0.6376625,-0.08035157,0.74112934,0.7259152,0.89960814,-0.5856365,-1.6284904,-1.3508999,0.591743,0.41180083,-0.11165159,0.67441136,-0.4472819,-1.1744579,0.59756935,-1.0667405,1.6028268,0.8186786,1.0899682,-0.067432664,-1.1424606,0.80818653,0.46094334,-1.8430558,0.6032268,-0.52833503,-1.6108211,-1.2205184,0.89742386,0.32891536,-0.01301531,0.38455448,-0.50434655
mutagenesis#logp,0.28509942,-0.31119612,-0.46301,0.46897408,2.1122546,-1.0758054,0.44136754,-1.0230495,-0.053585723,-1.3771133,-0.3277971,-0.16943187,-1.6741303,-0.46136007,0.46794072,-2.3916614,-0.6620211,-2.2649608,0.51928145,-0.20579402,-0.03472723,-0.42271376,0.38614476,-0.67703605,0.4592152,0.80973405,-1.008455,-0.7902971,0.2177558,-0.7399964,-0.40812254,-0.8940265,-1.797372,0.74633145,0.23563708,0.4252794,1.3375653,-0.50592357,0.14887953,-0.67087084
mutagenesis#logp_reverse,0.450397,-0.31251344,0.075435504,0.6667205,-0.39611408,0.28232312,0.7022263,-0.43574375,0.7837643,1.0818108,1.3099909,0.59066194,-1.1750977,-1.5568187,2.2539592,0.83766204,-0.28303027,-1.5817503,-0.86994815,1.4349046,-1.0740014,-0.145856,0.8716314,-0.39706516,-0.19248967,0.48571542,0.8212587,-1.1229963,1.5954096,-0.31043983,1.2207053,-0.034835387,-0.67607373,-0.3277126,-1.7823275,0.6052472,-0.68298835,0.011734975,-1.4140105,0.88562393
mutagenesis#lumo,0.61973745,0.7135726,-0.5007964,0.73336756,1.6864924,-0.962398,0.48456892,-0.5184324,-0.08480071,-1.8207434,-0.24494423,-0.07870045,-0.19620325,-1.3711628,0.4438936,-2.417095,-0.707563,-2.8392236,-1.6671625,-0.5950793,0.015157869,-0.5165387,0.1470337,-0.7060658,0.73720986,0.7631657,-0.98160577,-0.06969502,0.07288316,-0.34388965,-0.5093592,-1.1259253,0.01960992,1.260889,-0.23796175,-0.04789848,-0.9564263,-0.7758139,-0.5017826,-0.4072335
mutagenesis#lumo_reverse,0.72581065,-0.43005845,-0.26586783,0.5868417,-0.31230673,0.7010026,0.297299,-0.49505565,-1.757253,0.9628847,1.2935432,0.58605313,-1.1103762,-1.1154175,2.1223795,0.37744597,0.112868465,-0.053468898,-1.1234946,0.92678654,-1.2352617,0.4831994,0.09547646,-0.4321479,0.03123306,0.6750277,-0.25096497,0.59335566,1.5334281,0.5357622,1.6076267,0.10345966,-0.781459,-0.14255005,2.1683266,0.7094548,-1.3879668,0.6165095,-1.2804425,0.70661885
rdf-schema#domain,0.6796966,-1.3821453,0.49893695,0.97085375,0.63028437,-0.8124371,1.1973064,-0.35043284,-0.2939764,0.09635963,-0.9016037,0.64987606,1.504528,1.2729895,0.312988,-1.5742419,1.5999582,0.09469247,0.4236958,2.1496239,-1.5426807,1.1577301,-0.7276387,-0.014521602,0.8334069,0.53571963,-1.6536888,0.7553488,0.9877181,0.9781698,0.16682918,-1.4546245,1.4327599,-0.64863473,1.394718,-0.021537876,0.51859516,0.002135238,-0.30321056,0.38720047
rdf-schema#domain_reverse,-0.09441784,-2.2828498,-0.7416645,1.1965426,0.5152348,1.9051223,-0.14121613,-0.7499183,-0.77887326,-1.0818136,1.3238809,0.6101129,-0.86393386,-0.3537367,0.74836177,1.5542709,-0.63818514,-0.8575891,0.16837598,-0.24644291,-0.87607825,1.5754583,0.15903427,-0.9332347,1.6804247,1.3561037,-0.41377747,-0.7241095,-1.0477718,-0.4212208,1.493045,1.2394795,1.2264712,-0.18224193,0.53288734,-1.4316746,-2.6495938,0.1918884,-0.58624,0.3228956
rdf-schema#range,1.2411598,-0.5026395,0.35334,0.9969279,0.11308602,0.0868938,0.5276697,-0.9838697,1.1459985,-1.0201247,-0.020698732,1.2559003,1.0805906,0.45906565,1.3158121,-1.1034063,1.4609379,-0.34570614,0.96376544,0.7448594,-0.40466624,-1.0582048,0.38066518,-0.5651542,-0.67459947,-0.19300373,-1.3085463,0.049871944,-0.5817581,0.3146334,1.8887368,0.91604644,1.0884788,0.11636544,0.8001001,-0.96038145,0.2613019,1.1121374,0.24771419,0.67164266
rdf-schema#range_reverse,-0.32968956,-2.437777,-0.7867739,0.7891673,0.4035194,1.2449987,-0.10433479,-1.2882999,-0.9934391,-0.92427725,-1.1206487,0.21994016,-1.3119535,-0.85917175,0.30265334,1.1289426,-1.0121616,0.37167892,0.63312,-0.26506272,-1.0212237,1.3319665,-0.06892456,-0.52484566,1.5800196,-0.09652096,-0.5616642,-0.92093694,0.7221817,0.17203759,-1.0424818,1.9277819,1.1297209,-0.80655605,0.28458717,-0.07915072,-1.9495283,-0.015065806,-0.565607,1.1881387
rdf-schema#subClassOf,1.2125292,-1.335659,0.045851234,1.3643098,1.9293295,1.0356517,0.6938802,-0.84965384,-0.6443546,-2.0100663,-0.9487527,-0.104980096,1.0045502,-0.49815902,1.7969561,-2.0980785,2.638679,-4.361227,0.9433735,2.0562122,-0.65612495,0.67762345,-0.44923198,-0.3268758,-0.06648832,1.3245444,-1.7719011,-0.17853455,1.2119033,0.34914276,-0.67183477,-0.14353529,0.515602,-0.0697483,0.42107397,-1.310728,-0.46674097,0.032876596,0.28287074,0.40568444
rdf-schema#subClassOf_reverse,0.60041106,-0.09733232,-2.3357742,1.879096,-0.55938756,-0.20485513,0.9785848,-0.57988954,0.6923047,0.9055047,-1.510175,2.86253,-0.90058017,-0.62330556,-0.024535095,1.5206679,1.8108525,-1.3899599,1.2395431,-0.5337309,0.013290798,-0.5430286,-2.14424,-1.4847577,-0.75465775,0.9660532,-0.5463633,-0.14777032,0.81200635,0.6588777,1.4422165,-0.91577685,1.1114103,0.25035697,1.4490353,-0.06359595,-4.7542744,0.8099376,-0.9206051,0.19198032
