,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
22-rdf-syntax-ns#nil,-0.63112843,0.39607087,-0.29228204,0.23891112,0.3551398,0.8555765,-0.78304154,-0.13644505,0.33812064,0.811794,0.070627384,0.34228694,-0.015957873,-0.007583202,-0.73171604,0.39595383,0.036763094,0.29064915,0.13644202,-0.44765237,0.10929102,0.38282242,0.39719668,-0.60789526,0.2598074,0.14411151,-0.12827548,-0.47215718,0.29869995,-0.1973684,-0.05964456,-0.4114755,0.5460347,-0.17576687,0.0062748324,0.7123156,-0.6116179,-0.21668468,0.22442056,-0.38104185
22.25122790151288,0.25402117,0.25866044,0.067551576,-0.34268057,-0.15346381,0.28069863,-0.3699914,-0.053553957,-0.0035345452,0.016433964,-0.0657327,0.1172068,0.3151857,-0.20662826,-0.37987748,0.46562454,0.07181455,0.030258972,0.09251582,-0.41654304,0.07366959,0.15171427,0.22512051,-0.19339839,0.31935412,-0.12358923,0.105163954,0.11730704,0.3172732,0.4245829,-0.6112073,-0.070633195,0.436662,-0.11372851,0.046772745,0.065697715,-0.286783,-0.6183248,-0.34671667,-0.13603579
22.88904528961036,-0.1430404,0.1340821,0.12784311,-0.18688308,0.2731623,0.35710505,-0.41173375,0.46871805,0.17484395,0.030617503,-0.15369974,0.15973529,0.28181174,-0.46230775,-0.15997772,0.66188025,0.28646657,0.0786559,0.29989752,-0.44410905,-0.25272384,0.44376728,0.22741589,-0.19852579,0.15370664,-0.08409156,0.101782806,-0.37744844,0.16228892,0.2766586,-0.419944,-0.3856043,0.2813018,-0.14110215,-0.0712625,-0.17151357,-0.45349398,-0.6714856,-0.10585847,0.09491056
22.93594798656816,0.11878229,0.25726938,0.1920303,-0.30140176,-0.027079806,0.407319,-0.39144254,-0.12746082,-0.024756368,-0.0011976537,0.0008660369,0.21137834,0.3019035,-0.35614657,-0.16386364,0.5252401,0.087380886,0.055773303,0.18059218,-0.2967884,0.13050093,0.19982384,0.2581922,-0.053050164,0.28190205,-0.07550547,0.072985865,0.23613693,0.17971174,0.33916467,-0.43174374,-0.20783405,0.3169662,-0.3676454,-0.096965484,0.01926138,-0.6887347,-0.63890064,-0.04620134,0.06179667
22.96102305563464,0.019705776,0.29194447,-0.02250328,-0.4006103,-0.20273483,0.37870142,-0.2698921,-0.20273204,0.05464162,-0.08370493,0.013937936,0.17101714,0.30245832,0.1728737,-0.24284403,0.2364383,0.21776354,0.1397811,0.3517142,-0.47341433,0.020309286,0.14902112,0.24904715,-0.20452923,0.5280076,-0.04964605,0.21706976,0.30456096,0.15948635,0.35189718,-0.5007138,-0.19235255,0.29531404,-0.3502921,-0.009041175,0.015795112,-0.26285067,-0.65607333,-0.020397775,0.00979292
23.35335168557564,-0.2086876,0.33388597,0.048534714,-0.3291782,-0.08493518,0.34581345,-0.35030854,-0.13220175,0.25116658,-0.04384955,-0.067287505,0.17246354,0.34649473,0.089953594,-0.25814572,0.37866232,0.32473043,0.21011667,0.18736613,-0.52872366,-0.33963585,0.25163138,0.37181813,-0.2604981,0.46722952,-0.08901927,0.15151213,0.22678259,0.36297184,0.28875852,-0.58300024,-0.2225088,0.34081468,0.045896634,-0.09544892,0.03289731,-0.20748965,-0.546512,-0.4665765,-0.016240552
23.83947945942736,-0.2198345,0.43895665,-0.15324868,-0.32130748,0.55125487,0.2694635,-0.3134719,0.056668926,0.4247813,-0.07811466,-0.045823563,0.2165821,0.31865335,-0.19031183,0.018282996,0.39214042,0.21236251,0.110924095,0.113600686,-0.45316264,-0.1192687,0.0852833,0.3839728,-0.09715048,0.0050357464,-0.15792793,0.060839683,0.3833324,0.5606835,0.34093803,-0.498131,-0.25383058,0.25961056,-0.049529336,0.018417941,0.080290966,-0.5705394,-0.6227163,-0.40846866,-0.05170004
24.01414490625663,-0.12505907,0.22971573,-0.080295354,-0.24582516,0.2856462,0.37407795,-0.18548277,0.49209434,0.043047737,0.054955106,0.015008123,0.2752845,0.25833297,-0.2137586,-0.7996873,0.3321054,0.044037126,0.13460249,0.12693046,-0.28319338,-0.06053344,0.22363149,0.19480726,-0.08354555,0.093347564,-0.16466089,0.03752691,-0.117028,0.255426,0.36334902,-0.48485756,-0.07863741,0.32752028,0.17958131,0.02813486,0.20784678,-0.40284687,-0.524219,-0.057206452,0.16360497
24.28828605219695,-0.19732882,0.30229306,0.24112262,-0.16627501,0.4278853,0.32977185,-0.1413386,0.01915512,0.16796698,0.0024122286,-0.052485563,0.16386381,0.24016654,-0.25396022,-0.1714846,0.51099944,0.18419889,0.12419232,0.25721574,-0.4413514,-0.15752646,0.18454514,0.29650912,-0.21402828,0.07160605,-0.118339896,0.18158992,0.05883509,0.2350912,0.29616758,-0.5104863,-0.32377842,0.30252564,-0.026709283,0.03666239,0.022421952,-0.3020574,-0.60962045,-0.118693106,-0.029480897
24.43247892824545,-0.07646907,0.1292643,0.099355444,-0.2719628,0.43220484,0.36098304,-0.30124906,0.22239916,0.064027674,-0.021881115,-0.017098999,0.09473215,0.17772591,-0.43266013,-0.4821594,0.4889544,0.037068736,0.0081201885,0.392227,-0.41439456,-0.4592795,0.3447722,0.35075745,-0.19592519,0.12609239,-0.12644449,0.09595525,0.040661395,0.08461073,0.2873293,-0.38916153,-0.30444354,0.26775444,0.09288679,-0.10718128,0.07530115,-0.3973842,-0.55840635,0.073297344,0.06970689
24.73534424651286,0.07435312,0.27567807,0.17257248,-0.40436748,-0.064053096,0.40458348,-0.3847656,-0.14197716,-0.14930321,-0.057917804,0.036258385,0.019365495,0.25036144,-0.084742054,-0.18298994,0.26963508,0.18232119,0.1559805,0.22731218,-0.33034635,-0.4773499,0.0713549,0.19643617,-0.063994244,0.37879363,-0.008971324,0.106620826,0.041736048,-0.13202347,0.32813236,-0.46159616,-0.21658261,0.40742198,-0.7898702,0.030925944,0.11171135,-0.3484478,-0.63601446,-0.00062492874,0.122767195
24.8056554464516,-0.087462455,0.27016738,-0.25393805,-0.20090811,0.65163916,0.27803785,-0.2640237,-0.13987337,0.30499977,-0.106480844,-0.18985827,0.22938398,0.28482464,-0.1866543,-0.50764215,0.34414172,0.045704756,0.117179416,0.15259582,-0.27946877,-0.10620182,0.22007607,0.31882516,-0.11570448,-0.008280736,-0.10699128,0.044300713,0.03454803,0.49975917,0.32778093,-0.42912832,-0.21357091,0.2949653,-0.06636097,-0.033646055,0.19861084,-0.54764843,-0.53025883,-0.1036547,0.13985407
25.98384834966224,0.04856334,0.3422076,0.06360042,-0.3597133,0.6428089,0.37363186,-0.14279437,-0.13680227,0.27738956,0.08762645,-0.12931761,0.17104746,0.24968372,0.1470646,-0.15428051,0.39577308,-0.0017022523,0.2316278,0.3253649,-0.39638603,0.080415204,0.15440945,0.12335204,0.005415205,-0.057581194,-0.11332494,0.14552042,0.15188366,0.40111962,0.30913052,-0.44732893,-0.2926075,0.37214208,-0.4860181,-0.037153415,0.13183326,-0.47189128,-0.55356,-0.1947657,0.09388794
26.08148842388431,-0.04212436,0.31208277,-0.52651304,-0.24174729,-0.16553152,0.40863734,-0.1998672,0.41599673,0.047086645,-0.028097339,0.07839714,0.2718781,0.30834442,-0.06858757,-0.0897456,0.31877527,0.11122154,0.05389288,0.29332638,-0.42135912,-0.19300918,0.1786478,0.42718425,-0.11980525,0.3150509,-0.019486142,0.100786306,-0.12929991,0.21890998,0.37006363,-0.5688415,-0.3565618,0.3248888,0.10356368,0.17776714,0.041081127,-0.35699004,-0.6206487,-0.044327766,0.12691388
26.33586734239906,-0.1603453,0.36199343,-0.31939104,-0.3936868,-0.42872646,0.30851984,-0.27631247,0.120409265,0.28129464,-0.120757654,-0.014862751,0.19959602,0.34708968,-0.18016295,-0.3254948,0.20249002,0.14822212,0.23283356,0.26771498,-0.33427292,-0.18354146,0.23809913,0.2935961,-0.17417175,0.6009439,-0.08677411,0.15993834,0.021526601,0.35310727,0.3799444,-0.43335202,-0.17473553,0.22360055,-0.2554482,0.029176071,0.009000425,-0.50460196,-0.5951117,-0.06450452,0.15800063
26.55789095333027,0.024904974,0.3458899,-0.114472605,-0.24471152,0.04754565,0.2841561,-0.34181866,0.3619524,-0.016033364,-0.05970884,-0.064943954,0.087218374,0.224351,-0.17986546,-0.2810855,0.23124285,0.21345672,0.11818222,0.29519975,-0.5224715,0.069550574,0.29058534,0.30867112,-0.14260025,0.27944186,-0.14357197,0.1814562,-0.2291915,0.11341548,0.30715957,-0.44267455,-0.2795764,0.30019155,-0.18866579,-0.03156187,0.0067432695,-0.48161718,-0.518945,-0.2150096,-0.1086771
27.08847233780648,0.030843774,0.3091803,-0.21789555,-0.3317116,-0.13008164,0.30873463,-0.40349674,0.41332066,0.44928512,-0.05304215,0.05707917,0.16411555,0.324003,-0.11423649,-0.36870098,0.20549953,0.028433535,0.13865103,0.2099968,-0.39467314,0.011330397,0.14044268,0.303524,-0.11918757,0.2877995,-0.13950294,-0.03395748,-0.13464163,0.68874264,0.37577406,-0.68212587,-0.15738091,0.3406506,0.1340161,0.18299516,0.0948211,-0.38565797,-0.60066664,-0.13035177,-0.012587708
27.25625458305646,-0.15697268,0.3091995,-0.5302639,-0.24471103,0.082702085,0.19867857,-0.42219505,0.3543211,0.31740394,-0.055456225,-0.11603691,0.19235499,0.26693115,-0.19266488,-0.4253959,0.292508,0.043208335,0.13329044,0.34873503,-0.33872953,0.09268485,0.24256572,0.3092451,-0.06901093,0.20179765,-0.16784085,0.077391386,-0.3663642,0.39775866,0.34394747,-0.48905933,-0.17024274,0.2749989,-0.11616031,-0.023250388,0.14546664,-0.38671038,-0.53656876,0.0081673525,-0.005250867
27.30704421298264,-0.027845189,0.31148008,0.0959896,-0.3455792,-0.11433602,0.32336858,-0.28617337,-0.0444417,0.34726766,-0.04016508,-0.13854429,0.31496498,0.21145418,-0.14379759,-0.5132958,0.12137465,-0.070333965,0.076508,0.27517194,-0.36832562,0.18616375,0.21531487,0.085997276,-0.082658514,0.35912356,-0.14521946,0.08011679,0.16010855,0.45691437,0.3407648,-0.3778465,-0.14513235,0.38292372,-0.414071,0.08430065,0.01134487,-0.73750776,-0.56291175,-0.06978768,-0.018437855
27.36811967648377,-0.046490997,0.29859218,0.08902649,-0.28762951,0.31944534,0.301664,-0.39096636,-0.17860821,0.19197656,0.0068404665,-0.09900325,0.21927257,0.30189818,-0.31151012,-0.19076258,0.63876003,0.087355815,0.14478762,0.2816232,-0.46639585,0.103476316,0.27898854,0.17649093,-0.078955136,0.17523995,-0.11952274,0.15862814,0.28325063,0.42829335,0.32984534,-0.4318765,-0.34444222,0.22243533,0.1094567,-0.09349608,-0.0543868,-0.4511435,-0.6167407,-0.22224626,0.20943561
27.37335756835654,-0.02521482,0.17968157,-0.16952927,-0.1893676,0.5963922,0.36547777,-0.34744585,0.35822108,0.29811916,-0.018107593,-0.11787947,0.4424974,0.2399526,0.009857308,-0.31617916,0.41553885,0.18055739,0.2143699,0.19862704,-0.41137028,-0.11030025,0.39373612,0.30168694,-0.14949638,0.0030390143,-0.1873833,0.10894712,-0.15168336,0.4798406,0.33183685,-0.425591,-0.24061729,0.2575824,0.11341621,-0.057874113,0.050864827,-0.4015423,-0.5490455,-0.00060354156,0.15927443
27.85737139107431,-0.30852896,0.30962217,0.20184685,-0.22161931,0.34879196,0.24988137,-0.51496917,0.041155618,0.43768296,-0.051711857,-0.051581196,0.4165061,0.251069,-0.09314645,-0.39578292,0.39157966,0.0073950603,0.06863253,0.27627063,-0.31608322,-0.34029105,0.18544608,0.18325855,-0.031468432,0.09832542,-0.12455766,0.0073661646,-0.02415278,0.636112,0.35818738,-0.3810948,0.003319251,0.38099125,-0.13409884,0.058519453,0.111440234,-0.5611746,-0.66839063,0.11362525,-0.02241692
28.11569681314403,0.17463996,0.2516586,-0.23636742,-0.29527417,0.31938142,0.36759454,-0.3138213,0.5187204,-0.021904692,-0.054160785,-0.029439064,0.17164238,0.19908501,0.19898576,-0.09326411,0.45645615,0.21079257,0.07402504,0.31927383,-0.35992104,-0.048485152,0.19393711,0.26083243,-0.18347974,0.045485117,-0.2020596,0.07969256,-0.24362145,-0.04297879,0.34827548,-0.57819706,-0.18383932,0.4048011,-0.47315344,0.0019342811,0.2015049,-0.2911903,-0.55998117,-0.068573415,0.029823648
28.22852638439881,0.06142032,0.3449263,-0.120335095,-0.245052,-0.1096569,0.386949,-0.5205057,0.39151764,-0.15025656,-0.10917451,-0.017015733,0.17576264,0.24877034,-0.38545278,-0.24257648,0.38431513,0.31728658,0.110893704,0.32845864,-0.34411153,-0.32749376,0.26730916,0.31381303,-0.09764464,0.31415215,-0.06059294,-0.018529939,-0.23413959,-0.08011708,0.33013752,-0.5757678,-0.2508108,0.2997314,0.060664035,-0.02322288,0.07444546,-0.28111944,-0.58227897,-0.020042174,0.09793441
28.52643605613694,0.013603831,0.3106698,-0.014345641,-0.25652,-0.1887228,0.29157922,-0.2290257,0.41537204,0.087807156,-0.047611706,-0.057285063,0.09301264,0.20620313,-0.06497013,-0.40416268,0.20250405,0.05092579,0.030633667,0.2570699,-0.35136828,0.23868842,0.27796367,0.27230915,-0.16968815,0.30328465,-0.05375509,0.14617509,-0.2181466,0.22086813,0.33972067,-0.5178816,-0.28792658,0.3370971,-0.6539514,0.00015923465,0.11266335,-0.35935116,-0.46611038,-0.12499221,0.062541716
29.09677098362944,0.18887648,0.15151827,0.009538574,-0.2320352,-0.050389633,0.34905306,-0.3564237,0.091951445,-0.13509016,-0.06494828,-0.025128758,0.13458544,0.31219184,-0.29667062,-0.35189334,0.49289578,0.13968904,0.12495953,0.21417966,-0.43042272,0.1775724,0.37089053,0.20449677,-0.2653472,0.2535813,-0.13848025,0.09417968,0.110460766,-0.00300676,0.37988436,-0.63519776,-0.14114739,0.3481526,0.08410763,0.097444594,0.078564025,-0.3706409,-0.642231,-0.07405382,-0.016837157
29.19879351988703,-0.16170561,0.30645368,0.064663805,-0.3556347,-0.0888436,0.3392466,-0.25644746,-0.008237402,-0.051056985,-0.042706616,-0.04568863,0.2936496,0.23217806,-0.5234046,-0.1404896,0.4977752,0.12475942,0.09589562,0.35501975,-0.34754482,-0.2735022,0.19658479,0.17059852,-0.099169716,0.29399925,-0.082275234,0.16952886,-0.05386141,0.040179253,0.3456107,-0.38388374,-0.14665465,0.36313927,-0.037610944,0.0914843,0.19585316,-0.32045105,-0.6889548,-0.062910296,0.17807107
29.31849755912533,0.2400195,0.2751222,-0.04161899,-0.18924288,0.39851025,0.38226476,-0.26414484,0.04807612,-0.0906821,0.007538242,-0.017043058,0.07629964,0.31824338,0.2257273,-0.3220523,0.41556332,0.11060045,0.15710026,0.37197572,-0.5509539,0.11452542,0.4595985,0.38536692,-0.2752921,0.08669261,-0.19156635,0.05198509,-0.019058188,0.06284032,0.2989254,-0.49847537,-0.041400548,0.23201656,-0.40018266,-0.14034252,0.11567178,-0.40371493,-0.5562494,-0.033413984,0.054797664
30.06643253716855,-0.08914047,0.24535011,-0.23674339,-0.2604064,-0.074524134,0.29177606,-0.29862714,0.17997207,0.12505697,-0.13829894,-0.0046527237,0.23215888,0.32130358,-0.26288977,-0.24598981,0.33456638,0.15799797,0.076650545,0.32406917,-0.45402956,0.11496268,0.28912526,0.25424373,-0.21304494,0.25027224,-0.16989487,0.05490748,0.10090248,0.27695572,0.34953,-0.52693677,-0.22210672,0.28432596,0.012628726,0.18875799,0.06747483,-0.38888648,-0.60732096,-0.044102654,0.075377084
30.09869047792926,-0.30396843,0.27166337,0.09783834,-0.35734215,0.014780233,0.29626104,-0.4470415,-0.0695969,-0.0004631474,-0.04258817,-0.049647313,0.16987891,0.27373055,-0.7140256,-0.52045774,0.32926825,0.0574274,0.19519165,0.10855768,-0.31531322,-0.31327713,0.18930158,0.18977192,-0.17586678,0.33445367,-0.11857251,0.0038075906,0.27276054,0.12743263,0.31970385,-0.41864276,-0.09349476,0.3200382,-0.13183601,0.050023403,-0.021217687,-0.63606113,-0.6144861,-0.07422319,0.16284984
30.7182409422051,-0.14925577,0.2859635,0.12291893,-0.21845813,0.79912627,0.3265317,-0.38339844,0.060084376,-0.035409365,-0.05746095,-0.09178843,0.15226729,0.2423541,-0.2705386,-0.26230034,0.259674,0.11220855,0.052456856,0.24315032,-0.45756844,-0.37379825,0.15138793,0.23539388,-0.071056895,-0.08127027,-0.1302787,0.07690417,0.27042282,0.05716522,0.31466964,-0.4450719,-0.18348458,0.39238265,-0.48310632,0.07173745,0.10317195,-0.4008803,-0.6079879,-0.029134167,0.107604064
30.91083478573943,-0.050335858,0.35434252,0.18194662,-0.23613743,-0.29556274,0.36932,-0.42582124,0.05346494,-0.05599809,-0.0038517152,0.0020589314,0.16721487,0.28648645,-0.1635096,-0.4185026,0.23328924,0.14115828,0.21222238,0.24323352,-0.34774017,-0.18493055,0.1690334,0.28257728,-0.15697117,0.50850475,-0.07537058,-0.047964208,-0.13711472,-0.037662346,0.36987555,-0.50522614,-0.23955575,0.40075746,-0.5448187,-0.06374571,0.1575433,-0.2091108,-0.67180467,-0.04594911,0.12562595
31.1869228814314,-0.3961703,-0.045857333,0.0976208,-0.30453372,-0.047123063,0.2363294,-0.24346016,0.5651125,0.122469395,0.07077247,0.115204275,0.32528505,-0.012845701,-0.65845215,-0.50431234,0.30648902,0.21648549,-0.045183945,0.14772643,-0.37097374,-0.20412779,0.113148294,0.18037023,-0.05217458,0.04612523,0.04336018,-0.051103607,0.1002494,-0.01633638,0.37798306,-0.44271573,-0.0880301,0.32481256,-0.51178306,0.041255552,0.12914944,-0.4114954,-0.58535385,-0.039640885,0.09007907
31.216030760332,-0.049454182,0.40485492,0.038663056,-0.39110598,0.6690851,0.3597021,-0.16745742,-0.20875423,-0.069157206,-0.04618386,-0.16833708,0.14205654,0.28579587,0.07876815,-0.2060768,0.23103465,0.29303178,0.104537055,0.31365654,-0.41901436,-0.010729235,0.34005424,0.173906,-0.0969321,0.008612184,-0.08650874,0.13418166,0.4601369,0.064666905,0.34199274,-0.4552448,-0.12339865,0.35551593,-0.5796218,0.022093156,0.17618921,-0.16550536,-0.5509584,-0.21738952,0.106544666
31.22573706270546,-0.08640065,0.22764473,-0.168127,-0.3554958,0.28288838,0.2613452,-0.14013165,-0.05094736,-0.038388737,0.10969895,0.12791525,0.2673184,0.051985472,-0.14908282,-0.35067657,0.34824404,0.3443217,-0.055322092,0.2527537,-0.39731526,0.025290467,0.18922475,0.26913327,-0.01601304,0.14793837,-0.018931838,-0.036136284,0.04535522,-0.00028251714,0.37711346,-0.581914,-0.14159232,0.3419173,-0.36053985,0.010785073,0.31500182,-0.19234017,-0.5468505,-0.023851627,-0.091399655
31.42838121424862,-0.19970755,0.20544873,0.044068385,-0.23451263,0.34849092,0.318225,-0.31121236,-0.22711436,-0.06341507,0.16935441,0.04481937,0.28309804,0.08735555,-0.19055761,-0.40878227,0.36151978,0.35282356,-0.022564095,0.4141289,-0.5694083,-0.22307187,0.15973923,0.26059052,-0.011595635,0.28181013,-0.045461647,0.089201584,-0.07500053,-0.19177884,0.3164084,-0.5224466,-0.25336912,0.27136803,-0.38287315,-0.099000394,0.2980355,-0.09628206,-0.46360606,-0.051476106,-0.007341379
31.52900696298234,-0.02947645,0.061998695,-0.10261718,-0.41364583,0.44790432,0.35594973,-0.10290231,-0.1590227,0.24815252,0.09441956,0.13942893,0.28481278,0.07028638,-0.52425027,-0.2372429,0.16380106,0.40250826,-0.0072506936,0.24487428,-0.39544046,0.016373733,0.22929041,0.29414433,-0.01964852,0.29908574,-0.06053611,0.097864546,-0.11661593,0.5307671,0.36427417,-0.54301006,-0.32528922,0.29935917,-0.37095836,0.030560492,0.23803519,-0.29661772,-0.450184,-0.15917456,0.12214343
31.71507355246746,-0.32931706,0.06976066,0.23783945,-0.15328182,-0.0378624,0.23627542,-0.22802483,0.36287177,0.2852212,0.13385785,0.18335009,0.24199365,-0.032175884,-0.6759969,-0.2534492,0.10910898,0.16832362,-0.0696725,0.24227968,-0.4924477,0.055072077,0.19083339,0.2781944,0.048738968,0.13506474,-0.037062716,0.061107464,0.09002722,0.6836273,0.27432266,-0.40472895,-0.28241313,0.4161132,-0.33225867,0.006034763,0.32813805,-0.3585847,-0.5143232,-0.009742108,0.06327704
31.77451070780678,-0.48194176,0.3460781,-0.49065527,-0.255984,0.2698171,0.27993762,-0.19256556,0.08992979,-0.19931503,0.023733333,0.1697678,0.37885493,-0.0052996147,-0.63926095,-0.10655534,0.25580388,0.31239003,-0.069274135,0.19364537,-0.5266901,-0.35367656,0.2731771,0.7525043,-0.01400453,0.15875037,0.05065188,-0.052766483,-0.002533776,-0.2017872,0.33912247,-0.4970168,-0.37132436,0.3593385,-0.14906943,0.036466792,0.44716984,-0.01671238,-0.46572694,-0.2696245,-0.06054532
